Full Name,Weight,Date,Location,Division,Sex,Class,Equipment,Lift,Record Type,Record Name
Standard,62.5,,,T14-15DT,M,52,Wraps,S,Full Power,DT 52kg Classic
Standard,37.5,,,T14-15DT,M,52,Wraps,B,Full Power,DT 52kg Classic
Standard,65,,,T14-15DT,M,52,Wraps,D,Full Power,DT 52kg Classic
Standard,157.5,,,T14-15DT,M,52,Wraps,Total,Full Power,DT 52kg Classic
Standard,85,,,T14-15DT,M,56,Wraps,S,Full Power,DT 56kg Classic
Standard,50,,,T14-15DT,M,56,Wraps,B,Full Power,DT 56kg Classic
Standard,87.5,,,T14-15DT,M,56,Wraps,D,Full Power,DT 56kg Classic
Standard,212.5,,,T14-15DT,M,56,Wraps,Total,Full Power,DT 56kg Classic
Standard,105,,,T14-15DT,M,60,Wraps,S,Full Power,DT 60kg Classic
Standard,60,,,T14-15DT,M,60,Wraps,B,Full Power,DT 60kg Classic
Standard,110,,,T14-15DT,M,60,Wraps,D,Full Power,DT 60kg Classic
Standard,265,,,T14-15DT,M,60,Wraps,Total,Full Power,DT 60kg Classic
Standard,125,,,T14-15DT,M,67.5,Wraps,S,Full Power,DT 67.5kg Classic
Standard,72.5,,,T14-15DT,M,67.5,Wraps,B,Full Power,DT 67.5kg Classic
Standard,130,,,T14-15DT,M,67.5,Wraps,D,Full Power,DT 67.5kg Classic
Standard,315,,,T14-15DT,M,67.5,Wraps,Total,Full Power,DT 67.5kg Classic
Standard,142.5,,,T14-15DT,M,75,Wraps,S,Full Power,DT 75kg Classic
Standard,82.5,,,T14-15DT,M,75,Wraps,B,Full Power,DT 75kg Classic
Standard,150,,,T14-15DT,M,75,Wraps,D,Full Power,DT 75kg Classic
Standard,362.5,,,T14-15DT,M,75,Wraps,Total,Full Power,DT 75kg Classic
Standard,152.5,,,T14-15DT,M,82.5,Wraps,S,Full Power,DT 82.5kg Classic
Standard,87.5,,,T14-15DT,M,82.5,Wraps,B,Full Power,DT 82.5kg Classic
Standard,160,,,T14-15DT,M,82.5,Wraps,D,Full Power,DT 82.5kg Classic
Standard,385,,,T14-15DT,M,82.5,Wraps,Total,Full Power,DT 82.5kg Classic
Standard,152.5,,,T14-15DT,M,90,Wraps,S,Full Power,DT 90kg Classic
Standard,87.5,,,T14-15DT,M,90,Wraps,B,Full Power,DT 90kg Classic
Standard,160,,,T14-15DT,M,90,Wraps,D,Full Power,DT 90kg Classic
Standard,387.5,,,T14-15DT,M,90,Wraps,Total,Full Power,DT 90kg Classic
Standard,157.5,,,T14-15DT,M,100,Wraps,S,Full Power,DT 100kg Classic
Standard,92.5,,,T14-15DT,M,100,Wraps,B,Full Power,DT 100kg Classic
Standard,167.5,,,T14-15DT,M,100,Wraps,D,Full Power,DT 100kg Classic
Standard,402.5,,,T14-15DT,M,100,Wraps,Total,Full Power,DT 100kg Classic
Standard,162.5,,,T14-15DT,M,110,Wraps,S,Full Power,DT 110kg Classic
Standard,95,,,T14-15DT,M,110,Wraps,B,Full Power,DT 110kg Classic
Standard,172.5,,,T14-15DT,M,110,Wraps,D,Full Power,DT 110kg Classic
Standard,415,,,T14-15DT,M,110,Wraps,Total,Full Power,DT 110kg Classic
Standard,167.5,,,T14-15DT,M,125,Wraps,S,Full Power,DT 125kg Classic
Standard,97.5,,,T14-15DT,M,125,Wraps,B,Full Power,DT 125kg Classic
Standard,175,,,T14-15DT,M,125,Wraps,D,Full Power,DT 125kg Classic
Standard,425,,,T14-15DT,M,125,Wraps,Total,Full Power,DT 125kg Classic
Standard,172.5,,,T14-15DT,M,140,Wraps,S,Full Power,DT 140kg Classic
Standard,100,,,T14-15DT,M,140,Wraps,B,Full Power,DT 140kg Classic
Standard,180,,,T14-15DT,M,140,Wraps,D,Full Power,DT 140kg Classic
Standard,437.5,,,T14-15DT,M,140,Wraps,Total,Full Power,DT 140kg Classic
Standard,175,,,T14-15DT,M,140+,Wraps,S,Full Power,DT 140+kg Classic
Standard,102.5,,,T14-15DT,M,140+,Wraps,B,Full Power,DT 140+kg Classic
Standard,185,,,T14-15DT,M,140+,Wraps,D,Full Power,DT 140+kg Classic
Standard,447.5,,,T14-15DT,M,140+,Wraps,Total,Full Power,DT 140+kg Classic
Standard,72.5,,,T16-17DT,M,52,Wraps,S,Full Power,DT 52kg Classic
Standard,42.5,,,T16-17DT,M,52,Wraps,B,Full Power,DT 52kg Classic
Standard,77.5,,,T16-17DT,M,52,Wraps,D,Full Power,DT 52kg Classic
Standard,185,,,T16-17DT,M,52,Wraps,Total,Full Power,DT 52kg Classic
Standard,97.5,,,T16-17DT,M,56,Wraps,S,Full Power,DT 56kg Classic
Standard,57.5,,,T16-17DT,M,56,Wraps,B,Full Power,DT 56kg Classic
Standard,102.5,,,T16-17DT,M,56,Wraps,D,Full Power,DT 56kg Classic
Standard,247.5,,,T16-17DT,M,56,Wraps,Total,Full Power,DT 56kg Classic
Standard,122.5,,,T16-17DT,M,60,Wraps,S,Full Power,DT 60kg Classic
Standard,70,,,T16-17DT,M,60,Wraps,B,Full Power,DT 60kg Classic
Standard,127.5,,,T16-17DT,M,60,Wraps,D,Full Power,DT 60kg Classic
Standard,310,,,T16-17DT,M,60,Wraps,Total,Full Power,DT 60kg Classic
Standard,145,,,T16-17DT,M,67.5,Wraps,S,Full Power,DT 67.5kg Classic
Standard,85,,,T16-17DT,M,67.5,Wraps,B,Full Power,DT 67.5kg Classic
Standard,152.5,,,T16-17DT,M,67.5,Wraps,D,Full Power,DT 67.5kg Classic
Standard,370,,,T16-17DT,M,67.5,Wraps,Total,Full Power,DT 67.5kg Classic
Standard,167.5,,,T16-17DT,M,75,Wraps,S,Full Power,DT 75kg Classic
Standard,97.5,,,T16-17DT,M,75,Wraps,B,Full Power,DT 75kg Classic
Standard,175,,,T16-17DT,M,75,Wraps,D,Full Power,DT 75kg Classic
Standard,425,,,T16-17DT,M,75,Wraps,Total,Full Power,DT 75kg Classic
Standard,177.5,,,T16-17DT,M,82.5,Wraps,S,Full Power,DT 82.5kg Classic
Standard,102.5,,,T16-17DT,M,82.5,Wraps,B,Full Power,DT 82.5kg Classic
Standard,187.5,,,T16-17DT,M,82.5,Wraps,D,Full Power,DT 82.5kg Classic
Standard,452.5,,,T16-17DT,M,82.5,Wraps,Total,Full Power,DT 82.5kg Classic
Standard,177.5,,,T16-17DT,M,90,Wraps,S,Full Power,DT 90kg Classic
Standard,102.5,,,T16-17DT,M,90,Wraps,B,Full Power,DT 90kg Classic
Standard,187.5,,,T16-17DT,M,90,Wraps,D,Full Power,DT 90kg Classic
Standard,455,,,T16-17DT,M,90,Wraps,Total,Full Power,DT 90kg Classic
Standard,185,,,T16-17DT,M,100,Wraps,S,Full Power,DT 100kg Classic
Standard,107.5,,,T16-17DT,M,100,Wraps,B,Full Power,DT 100kg Classic
Standard,195,,,T16-17DT,M,100,Wraps,D,Full Power,DT 100kg Classic
Standard,472.5,,,T16-17DT,M,100,Wraps,Total,Full Power,DT 100kg Classic
Standard,192.5,,,T16-17DT,M,110,Wraps,S,Full Power,DT 110kg Classic
Standard,110,,,T16-17DT,M,110,Wraps,B,Full Power,DT 110kg Classic
Standard,200,,,T16-17DT,M,110,Wraps,D,Full Power,DT 110kg Classic
Standard,487.5,,,T16-17DT,M,110,Wraps,Total,Full Power,DT 110kg Classic
Standard,195,,,T16-17DT,M,125,Wraps,S,Full Power,DT 125kg Classic
Standard,112.5,,,T16-17DT,M,125,Wraps,B,Full Power,DT 125kg Classic
Standard,205,,,T16-17DT,M,125,Wraps,D,Full Power,DT 125kg Classic
Standard,500,,,T16-17DT,M,125,Wraps,Total,Full Power,DT 125kg Classic
Standard,200,,,T16-17DT,M,140,Wraps,S,Full Power,DT 140kg Classic
Standard,117.5,,,T16-17DT,M,140,Wraps,B,Full Power,DT 140kg Classic
Standard,212.5,,,T16-17DT,M,140,Wraps,D,Full Power,DT 140kg Classic
Standard,512.5,,,T16-17DT,M,140,Wraps,Total,Full Power,DT 140kg Classic
Standard,205,,,T16-17DT,M,140+,Wraps,S,Full Power,DT 140+kg Classic
Standard,120,,,T16-17DT,M,140+,Wraps,B,Full Power,DT 140+kg Classic
Standard,217.5,,,T16-17DT,M,140+,Wraps,D,Full Power,DT 140+kg Classic
Standard,525,,,T16-17DT,M,140+,Wraps,Total,Full Power,DT 140+kg Classic
Standard,85,,,T18-19DT,M,52,Wraps,S,Full Power,DT 52kg Classic
Standard,50,,,T18-19DT,M,52,Wraps,B,Full Power,DT 52kg Classic
Standard,90,,,T18-19DT,M,52,Wraps,D,Full Power,DT 52kg Classic
Standard,217.5,,,T18-19DT,M,52,Wraps,Total,Full Power,DT 52kg Classic
Standard,115,,,T18-19DT,M,56,Wraps,S,Full Power,DT 56kg Classic
Standard,67.5,,,T18-19DT,M,56,Wraps,B,Full Power,DT 56kg Classic
Standard,120,,,T18-19DT,M,56,Wraps,D,Full Power,DT 56kg Classic
Standard,290,,,T18-19DT,M,56,Wraps,Total,Full Power,DT 56kg Classic
Standard,142.5,,,T18-19DT,M,60,Wraps,S,Full Power,DT 60kg Classic
Standard,82.5,,,T18-19DT,M,60,Wraps,B,Full Power,DT 60kg Classic
Standard,150,,,T18-19DT,M,60,Wraps,D,Full Power,DT 60kg Classic
Standard,362.5,,,T18-19DT,M,60,Wraps,Total,Full Power,DT 60kg Classic
Standard,170,,,T18-19DT,M,67.5,Wraps,S,Full Power,DT 67.5kg Classic
Standard,100,,,T18-19DT,M,67.5,Wraps,B,Full Power,DT 67.5kg Classic
Standard,180,,,T18-19DT,M,67.5,Wraps,D,Full Power,DT 67.5kg Classic
Standard,435,,,T18-19DT,M,67.5,Wraps,Total,Full Power,DT 67.5kg Classic
Standard,195,,,T18-19DT,M,75,Wraps,S,Full Power,DT 75kg Classic
Standard,112.5,,,T18-19DT,M,75,Wraps,B,Full Power,DT 75kg Classic
Marinis Lamkai,210,13/04/2025,South Midlands,T18-19DT,M,75,Wraps,D,Full Power,DT 75kg Classic
